Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-11;00:00:00;8;1;;;111.6;59.0
2018-01-12;00:00:00;8;1;;79.9;55.8;59.0
2018-01-13;00:00:00;8;1;;75.0;53.2;59.0
2018-01-14;00:00:00;8;1;;75.0;53.2;59.0
2018-01-15;00:00:00;8;1;;75.0;53.2;59.0
2018-01-16;00:00:00;8;1;;75.0;53.2;59.0
2018-01-17;00:00:00;8;1;;71.1;51.0;59.0
2018-01-18;00:00:00;8;1;;67.2;49.5;59.0
2018-01-19;00:00:00;8;1;;67.2;49.1;59.0
2018-01-20;00:00:00;8;1;;67.2;49.1;59.0
2018-01-21;00:00:00;8;1;;65.2;48.1;59.0
2018-01-22;00:00:00;8;1;;65.2;48.3;59.0
2018-01-23;00:00:00;8;1;;65.2;48.3;59.0
2018-01-24;00:00:00;8;1;;65.2;48.3;59.0
2018-01-25;00:00:00;8;1;;65.2;48.3;59.0
2018-01-26;00:00:00;8;1;;65.2;49.0;59.0
2018-01-27;00:00:00;8;1;;65.2;49.0;59.0
2018-01-28;00:00:00;8;1;;65.2;49.6;59.0
2018-01-29;00:00:00;8;1;;65.2;49.6;59.0
2018-01-30;00:00:00;8;1;;65.2;49.6;59.0
2018-01-31;00:00:00;8;1;;65.2;49.6;59.0
2018-02-01;00:00:00;4;1;;65.2;;59.0
2018-02-02;00:00:00;4;1;;65.2;;59.0
2018-02-03;00:00:00;4;1;;65.2;;59.0
2018-02-04;00:00:00;4;1;;69.1;;59.0
2018-02-05;00:00:00;4;1;;69.1;;59.0
2018-02-06;00:00:00;4;1;;69.1;;59.0
2018-02-07;00:00:00;4;1;;73.0;;59.0
2018-02-08;00:00:00;4;1;;73.0;;59.0
2018-02-09;00:00:00;4;1;;73.0;;59.0
2018-02-10;00:00:00;4;1;;73.0;;59.0
2018-02-11;00:00:00;4;1;;72.1;;59.0
2018-02-12;00:00:00;4;1;;72.1;;59.0
2018-02-13;00:00:00;4;1;;72.1;;59.0
2018-02-14;00:00:00;4;1;;72.1;;59.0
2018-02-15;00:00:00;4;1;;72.1;;59.0
2018-02-16;00:00:00;4;1;;72.1;;59.0
2018-02-17;00:00:00;4;1;;76.0;;59.0
2018-02-18;00:00:00;4;1;;76.0;;59.0
2018-02-19;00:00:00;4;1;;76.0;;59.0
2018-02-20;00:00:00;4;1;;76.0;;59.0
2018-02-21;00:00:00;4;1;;76.0;;59.0
2018-02-22;00:00:00;4;1;;76.0;;59.0
2018-02-23;00:00:00;4;1;;76.0;;59.0
2018-02-24;00:00:00;4;1;;72.1;;59.0
2018-02-25;00:00:00;4;1;;72.1;;59.0
2018-02-26;00:00:00;4;1;;72.1;;59.0
2018-02-27;00:00:00;4;1;;72.1;;59.0
2018-02-28;00:00:00;4;1;;72.1;;59.0
2018-03-01;00:00:00;4;1;;72.1;53.2;59.0
2018-03-02;00:00:00;4;1;;72.1;53.2;59.0
2018-03-03;00:00:00;4;1;;72.1;53.2;59.0
2018-03-04;00:00:00;4;1;;76.0;55.3;59.0
2018-03-05;00:00:00;4;1;;76.0;55.0;59.0
2018-03-06;00:00:00;4;1;;76.0;55.0;59.0
2018-03-07;00:00:00;4;1;;76.0;55.0;59.0
2018-03-08;00:00:00;4;1;;76.0;55.0;59.0
2018-03-09;00:00:00;4;1;;77.9;57.2;59.0
2018-03-10;00:00:00;4;1;;75.0;55.6;59.0
2018-03-11;00:00:00;4;1;;75.0;55.6;59.0
2018-03-12;00:00:00;4;1;;75.0;55.6;59.0
2018-03-13;00:00:00;4;1;;75.0;55.0;59.0
2018-03-14;00:00:00;4;1;;75.0;55.0;59.0
2018-03-15;00:00:00;4;1;;75.0;55.0;59.0
2018-03-16;00:00:00;4;1;;75.0;55.0;59.0
2018-03-17;00:00:00;4;1;;75.0;55.0;59.0
2018-03-18;00:00:00;4;1;;75.0;55.0;59.0
2018-03-19;00:00:00;4;1;;82.8;59.3;59.0
2018-03-20;00:00:00;4;1;;82.8;59.3;59.0
2018-03-21;00:00:00;4;1;;82.8;59.3;59.0
2018-03-22;00:00:00;4;1;;82.8;59.3;59.0
2018-03-23;00:00:00;4;1;;75.0;66.9;59.0
2018-03-24;00:00:00;4;1;;78.9;69.8;59.0
2018-03-25;00:00:00;4;1;;78.9;69.8;59.0
2018-03-26;00:00:00;4;1;;78.9;69.8;59.0
2018-03-27;00:00:00;4;1;;78.9;69.8;59.0
2018-03-28;00:00:00;4;1;;81.8;53.2;59.0
2018-03-29;00:00:00;4;1;;81.8;53.2;59.0
2018-03-30;00:00:00;4;1;;81.8;53.2;59.0
2018-03-31;00:00:00;4;1;;81.8;52.6;59.0
2018-04-01;00:00:00;4;1;;81.8;52.6;59.0
2018-04-02;00:00:00;4;1;;81.8;52.6;59.0
2018-04-03;00:00:00;4;1;;81.8;52.6;59.0
2018-04-04;00:00:00;4;1;;81.8;52.6;59.0
