url;id;name;year;duration;imdb-popularity;budget;box-office
https://www.imdb.com/title/tt5052448/;5052448;Прочь;2017;104;312;4.5;255.7
https://www.imdb.com/title/tt0076759/;0076759;Звёздные войны. Эпизод 4: Новая надежда;1977;121;224;11.0;775.4
https://www.imdb.com/title/tt0113277/;0113277;Схватка;1995;170;187;60.0;187.4
https://www.imdb.com/title/tt0325980/;0325980;Пираты Карибского моря: Проклятие Чёрной жемчужины;2003;143;273;140.0;654.3
https://www.imdb.com/title/tt0416449/;0416449;300 спартанцев;2006;117;77;65.0;456.1
https://www.imdb.com/title/tt8503618/;0;Гамильтон;2020;160;266;0.0;0.0
https://www.imdb.com/title/tt1130884/;1130884;Остров проклятых;2010;138;302;80.0;294.8
https://www.imdb.com/title/tt2119532/;2119532;По соображениям совести;2016;139;112;40.0;180.6
https://www.imdb.com/title/tt0093779/;0093779;Принцесса-невеста;1987;98;271;16.0;30.9
https://www.imdb.com/title/tt6966692/;6966692;Зеленая книга;2018;130;450;23.0;321.8
https://www.imdb.com/title/tt0903624/;0903624;Хоббит: Нежданное путешествие;2012;169;314;180.0;1017.0
https://www.imdb.com/title/tt3281548/;3281548;Маленькие женщины;2019;135;275;40.0;216.6
https://www.imdb.com/title/tt0407887/;0407887;Отступники;2006;151;272;90.0;291.5
https://www.imdb.com/title/tt0078788/;0078788;Апокалипсис сегодня;1979;147;232;31.5;92.2
https://www.imdb.com/title/tt0477348/;0477348;Старикам тут не место;2007;122;290;25.0;171.6
https://www.imdb.com/title/tt0089218/;0089218;Балбесы;1985;114;374;19.0;64.5
https://www.imdb.com/title/tt0110413/;0110413;Леон;1994;110;190;115.0;19.6
https://www.imdb.com/title/tt0304141/;0304141;Гарри Поттер и узник Азкабана;2004;142;410;130.0;797.5
https://www.imdb.com/title/tt10272386/;10272386;Отец;2020;97;324;35.0;24.2
https://www.imdb.com/title/tt5463162/;5463162;Дэдпул 2;2018;119;174;110.0;785.9
https://www.imdb.com/title/tt3501632/;3501632;Тор: Рагнарёк;2017;130;258;180.0;854.0
https://www.imdb.com/title/tt0469494/;0469494;Нефть;2007;158;213;25.0;76.2
https://www.imdb.com/title/tt3521164/;3521164;Моана;2016;107;292;150.0;644.1
https://www.imdb.com/title/tt0112573/;0112573;Храброе сердце;1995;178;197;72.0;213.2
https://www.imdb.com/title/tt0062622/;0062622;2001 год: Космическая одиссея;1968;149;551;12.0;65.9
https://www.imdb.com/title/tt3890160/;3890160;Малыш на драйве;2017;113;249;34.0;226.9
https://www.imdb.com/title/tt0246578/;0246578;Донни Дарко;2001;113;320;6.0;7.0
https://www.imdb.com/title/tt3748528/;3748528;Изгой-один. Звёздные войны: Истории;2016;133;449;200.0;1056.1
https://www.imdb.com/title/tt0169547/;0169547;Красота по-американски;1999;122;264;15.0;356.3
https://www.imdb.com/title/tt0075314/;0075314;Таксист;1976;114;298;1.3;28.6
https://www.imdb.com/title/tt0083658/;0083658;Бегущий по лезвию;1982;117;422;28.0;41.7
https://www.imdb.com/title/tt1291584/;1291584;Воин;2011;140;426;25.0;23.3
https://www.imdb.com/title/tt1596363/;1596363;Игра на понижение;2015;130;349;28.0;133.4
https://www.imdb.com/title/tt0119116/;0119116;Пятый элемент;1997;126;470;93.0;263.9
https://www.imdb.com/title/tt0088763/;0088763;Назад в будущее;1985;116;262;19.0;383.3
https://www.imdb.com/title/tt0926084/;0926084;Гарри Поттер и Дары смерти: Часть I;2010;146;352;150.0;977.1
https://www.imdb.com/title/tt5726616/;5726616;Назови меня своим именем;2017;132;285;4.0;41.9
https://www.imdb.com/title/tt2584384/;2584384;Кролик Джоджо;2019;108;278;14.0;90.3
https://www.imdb.com/title/tt0050083/;0;12 рaзгневанных мужчин;1957;96;291;0.3;0.0
https://www.imdb.com/title/tt0167261/;0167261;Властелин колец: Две крепости;2002;179;412;94.0;947.9
https://www.imdb.com/title/tt0071562/;0071562;Крёстный отец 2;1974;202;175;13.0;47.9
https://www.imdb.com/title/tt0371746/;0371746;Железный человек;2008;126;341;140.0;585.8
https://www.imdb.com/title/tt0073195/;0073195;Челюсти;1975;124;368;7.0;471.4
https://www.imdb.com/title/tt0078748/;0078748;Чужой;1979;117;366;11.0;106.3
https://www.imdb.com/title/tt1201607/;1201607;Гарри Поттер и Дары смерти: Часть II;2011;130;367;125.0;1342.4
https://www.imdb.com/title/tt0114814/;0114814;Подозрительные лица;1995;106;334;6.0;23.3
https://www.imdb.com/title/tt0119217/;0119217;Умница Уилл Хантинг;1997;126;299;10.0;225.9
https://www.imdb.com/title/tt5013056/;5013056;Дюнкерк;2017;106;236;100.0;527.0
https://www.imdb.com/title/tt0848228/;0848228;Мстители;2012;143;351;220.0;1518.8
https://www.imdb.com/title/tt1663202/;1663202;Выживший;2015;156;399;135.0;533.0
https://www.imdb.com/title/tt0095647/;0095647;Миссисипи в огне;1988;128;1680;15.0;34.6
https://www.imdb.com/title/tt0106677/;0106677;Под кайфом и в смятении;1993;102;474;6.9;8.0
https://www.imdb.com/title/tt0081505/;0081505;Сияние;1980;146;376;19.0;47.3
https://www.imdb.com/title/tt0338013/;0338013;Вечное сияние чистого разума;2004;108;353;20.0;74.0
https://www.imdb.com/title/tt0118749/;0118749;Ночи в стиле буги;1997;155;407;15.0;43.1
https://www.imdb.com/title/tt0181875/;0181875;Почти знаменит;2000;122;433;60.0;47.4
https://www.imdb.com/title/tt0110357/;0110357;Король лев;1994;88;430;45.0;1063.6
https://www.imdb.com/title/tt0947798/;0947798;Чёрный лебедь;2010;108;443;13.0;329.4
https://www.imdb.com/title/tt2582782/;2582782;Любой ценой;2016;102;504;12.0;37.9
https://www.imdb.com/title/tt3315342/;3315342;Логан;2017;137;318;97.0;619.2
https://www.imdb.com/title/tt0073486/;0073486;Пролетая над гнездом кукушки;1975;133;413;3.0;109.1
https://www.imdb.com/title/tt1285016/;1285016;Социальная сеть;2010;120;360;40.0;224.9
https://www.imdb.com/title/tt2084970/;2084970;Игра в имитацию;2014;114;496;14.0;233.6
https://www.imdb.com/title/tt1302006/;1302006;Ирландец;2019;209;419;159.0;1.0
https://www.imdb.com/title/tt0103064/;0103064;Терминатор 2: Судный день;1991;137;463;102.0;520.9
https://www.imdb.com/title/tt0364569/;0364569;Олдбой;2003;120;458;3.0;15.2
https://www.imdb.com/title/tt0829482/;0829482;SuperПерцы;2007;113;544;20.0;170.8
https://www.imdb.com/title/tt2543164/;2543164;Прибытие;2016;116;601;47.0;203.4
https://www.imdb.com/title/tt0090605/;0090605;Чужие;1986;137;521;18.5;131.1
https://www.imdb.com/title/tt1568346/;1568346;Девушка с татуировкой дракона;2011;158;448;90.0;232.6
https://www.imdb.com/title/tt2543472/;2543472;Чудо;2017;113;955;20.0;306.2
https://www.imdb.com/title/tt0264464/;0264464;Поймай меня, если сможешь;2002;141;485;52.0;352.1
https://www.imdb.com/title/tt3553976/;3553976;Капитан Фантастик;2016;118;884;5.0;23.1
https://www.imdb.com/title/tt2488496/;2488496;Звёздные войны: Пробуждение Силы;2015;138;535;245.0;2069.5
https://www.imdb.com/title/tt3498820/;3498820;Первый мститель: Война героев;2016;147;517;250.0;1153.3
https://www.imdb.com/title/tt1659337/;1659337;Хорошо быть тихоней;2012;103;503;13.0;33.4
https://www.imdb.com/title/tt0417741/;0417741;Гарри Поттер и Принц-полукровка;2009;153;465;250.0;934.5
https://www.imdb.com/title/tt0118715/;0118715;Большой Лебовски;1998;117;408;15.0;47.0
https://www.imdb.com/title/tt0486655/;0486655;Звёздная пыль;2007;127;547;70.0;137.5
https://www.imdb.com/title/tt0381061/;0381061;Казино Рояль;2006;144;530;150.0;616.5
https://www.imdb.com/title/tt0209144/;0209144;Помни;2000;113;287;9.0;40.0
https://www.imdb.com/title/tt0245429/;0245429;Унесённые призраками;2001;125;480;19.0;355.7
https://www.imdb.com/title/tt3460252/;3460252;Омерзительная восьмерка;2015;168;507;44.0;156.5
https://www.imdb.com/title/tt0088247/;0088247;Терминатор;1984;107;607;6.4;78.4
https://www.imdb.com/title/tt0034583/;0034583;Casablanca;1942;102;712;0.9;4.5
https://www.imdb.com/title/tt0265086/;0265086;Черный Ястреб;2001;144;572;92.0;173.0
https://www.imdb.com/title/tt0086250/;0086250;Лицо со шрамом;1983;170;276;25.0;65.9
https://www.imdb.com/title/tt1323594/;1323594;Гадкий я;2010;95;688;69.0;543.2
https://www.imdb.com/title/tt0080339/;0080339;Аэроплан!;1980;88;650;3.5;83.5
https://www.imdb.com/title/tt1843866/;1843866;Первый мститель 2: Вторая война;2014;136;707;170.0;714.4
https://www.imdb.com/title/tt0332280/;0332280;Дневник памяти;2004;123;525;29.0;118.2
https://www.imdb.com/title/tt0388795/;0388795;Горбатая гора;2005;134;603;14.0;178.1
https://www.imdb.com/title/tt3896198/;3896198;Стражи Галактики. Часть 2;2017;136;573;200.0;863.8
https://www.imdb.com/title/tt0112641/;0112641;Казино;1995;178;488;52.0;116.1
https://www.imdb.com/title/tt0087843/;0087843;Однажды в Америке;1984;229;421;30.0;5.5
https://www.imdb.com/title/tt0780504/;0780504;Драйв;2011;100;512;15.0;77.2
https://www.imdb.com/title/tt0208092/;0208092;Большой куш;2000;104;494;6.0;83.6
https://www.imdb.com/title/tt0066921/;0066921;A Clockwork Orange;1971;136;473;2.2;27.0
https://www.imdb.com/title/tt0317705/;0317705;Суперсемейка;2004;115;605;92.0;631.6
https://www.imdb.com/title/tt2948356/;2948356;Зверополис;2016;108;453;150.0;1024.1
https://www.imdb.com/title/tt0117951/;0117951;На игле;1996;93;630;1.5;16.8
https://www.imdb.com/title/tt1270798/;1270798;Люди Икс: Первый класс;2011;131;340;160.0;352.6
https://www.imdb.com/title/tt0057012/;0057012;Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу;1964;95;466;1.8;9.5
https://www.imdb.com/title/tt1170358/;1170358;Хоббит: Пустошь Смауга;2013;161;689;225.0;959.0
https://www.imdb.com/title/tt3783958/;3783958;Ла-Ла Ленд;2016;128;522;30.0;448.9
https://www.imdb.com/title/tt2106476/;2106476;Охота;2012;115;598;3.8;15.8
https://www.imdb.com/title/tt2380307/;2380307;Тайна Коко;2017;105;445;175.0;807.8
