Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-01;00:00:00;8;1;;73.8;51.0;280.0
2018-01-02;00:00:00;8;1;;71.8;49.6;280.0
2018-01-03;00:00:00;8;1;;71.8;49.6;280.0
2018-01-04;00:00:00;8;1;;71.8;49.6;280.0
2018-01-05;00:00:00;8;1;;71.8;49.7;280.0
2018-01-06;00:00:00;8;1;;71.8;49.7;280.0
2018-01-07;00:00:00;8;1;;68.8;47.6;280.0
2018-01-08;00:00:00;8;1;;68.8;47.6;280.0
2018-01-09;00:00:00;8;1;;68.8;47.6;280.0
2018-01-10;00:00:00;8;1;;66.9;46.1;280.0
2018-01-11;00:00:00;8;1;;66.9;46.1;280.0
2018-01-12;00:00:00;8;1;;65.9;45.8;280.0
2018-01-13;00:00:00;8;1;;64.9;45.0;280.0
2018-01-14;00:00:00;8;1;;64.9;45.0;280.0
2018-01-15;00:00:00;8;1;;64.9;45.0;280.0
2018-01-16;00:00:00;8;1;;64.9;45.0;280.0
2018-01-17;00:00:00;8;1;;62.0;42.5;280.0
2018-01-18;00:00:00;8;1;;61.0;42.2;280.0
2018-01-19;00:00:00;8;1;;61.0;42.2;280.0
2018-01-20;00:00:00;8;1;;61.0;42.2;280.0
2018-01-21;00:00:00;8;1;;59.0;39.7;280.0
2018-01-22;00:00:00;8;1;;59.0;39.7;280.0
2018-01-23;00:00:00;8;1;;58.0;39.5;280.0
2018-01-24;00:00:00;8;1;;58.0;39.5;280.0
2018-01-25;00:00:00;8;1;;58.0;39.5;280.0
2018-01-26;00:00:00;8;1;;57.0;38.5;280.0
2018-01-27;00:00:00;8;1;;55.0;36.7;280.0
2018-01-28;00:00:00;8;1;;55.0;36.7;280.0
2018-01-29;00:00:00;8;1;;55.0;36.7;280.0
2018-01-30;00:00:00;8;1;;55.0;36.7;280.0
2018-01-31;00:00:00;8;1;;55.0;36.7;280.0
2018-02-01;00:00:00;4;1;;55.0;;280.0
2018-02-02;00:00:00;4;1;;55.0;;280.0
2018-02-03;00:00:00;4;1;;55.0;;280.0
2018-02-04;00:00:00;4;1;;51.1;;280.0
2018-02-05;00:00:00;4;1;;51.1;;280.0
2018-02-06;00:00:00;4;1;;51.1;;280.0
2018-02-07;00:00:00;4;1;;51.1;;280.0
2018-02-08;00:00:00;4;1;;51.1;;280.0
2018-02-09;00:00:00;4;1;;51.2;;280.0
2018-02-10;00:00:00;4;1;;51.2;;280.0
2018-02-11;00:00:00;4;1;;51.2;;280.0
2018-02-12;00:00:00;4;1;;51.2;;280.0
2018-02-13;00:00:00;4;1;;51.2;;280.0
2018-02-14;00:00:00;4;1;;51.2;;280.0
2018-02-15;00:00:00;4;1;;;;280.0
2018-02-16;00:00:00;4;1;;;;280.0
2018-02-17;00:00:00;4;1;;;;280.0
2018-02-18;00:00:00;4;1;;;;280.0
2018-02-19;00:00:00;4;1;;;;280.0
2018-02-20;00:00:00;4;1;;;;280.0
2018-02-21;00:00:00;4;1;;;;280.0
2018-02-22;00:00:00;4;1;;;;280.0
2018-02-23;00:00:00;4;1;;;;280.0
2018-02-24;00:00:00;4;1;;;;280.0
2018-02-25;00:00:00;4;1;;;;280.0
2018-02-26;00:00:00;4;1;;;;280.0
2018-02-27;00:00:00;4;1;;;;280.0
2018-02-28;00:00:00;4;1;;;;280.0
2018-03-01;00:00:00;4;1;;;34.7;280.0
2018-03-02;00:00:00;4;1;;;34.7;280.0
2018-03-03;00:00:00;4;1;;;34.7;280.0
2018-03-04;00:00:00;4;1;;;34.7;280.0
2018-03-05;00:00:00;4;1;;;34.7;280.0
2018-03-06;00:00:00;4;1;;;34.7;280.0
2018-03-07;00:00:00;4;1;;;34.7;280.0
2018-03-08;00:00:00;4;1;;;34.7;280.0
2018-03-09;00:00:00;4;1;;;33.5;280.0
2018-03-10;00:00:00;4;1;;;33.5;280.0
2018-03-11;00:00:00;4;1;;;33.5;280.0
2018-03-12;00:00:00;4;1;;;33.5;280.0
2018-03-13;00:00:00;4;1;;;32.0;280.0
2018-03-14;00:00:00;4;3;;;32.0;280.0
2018-03-15;00:00:00;4;3;;;32.0;280.0
2018-03-16;00:00:00;4;3;;;32.2;280.0
2018-03-17;00:00:00;4;3;;;32.2;280.0
2018-03-18;00:00:00;4;3;;;32.2;280.0
2018-03-19;00:00:00;4;3;;;32.2;280.0
2018-03-20;00:00:00;4;3;;;29.8;280.0
2018-03-21;00:00:00;4;3;;;29.8;280.0
2018-03-22;00:00:00;4;3;;;29.8;280.0
2018-03-23;00:00:00;4;3;;;30.9;280.0
2018-03-24;00:00:00;4;3;;;34.1;280.0
2018-03-25;00:00:00;4;3;;;34.2;280.0
2018-03-26;00:00:00;4;3;;;34.2;280.0
2018-03-27;00:00:00;4;3;;;34.2;280.0
2018-03-28;00:00:00;4;3;;;31.0;280.0
2018-03-29;00:00:00;4;3;;;33.1;280.0
2018-03-30;00:00:00;4;3;;;33.3;280.0
2018-03-31;00:00:00;4;3;;;33.3;280.0
2018-04-01;00:00:00;4;3;;;34.3;
2018-04-02;00:00:00;4;3;;;34.3;
2018-04-03;00:00:00;4;3;;;34.3;
2018-04-04;00:00:00;4;3;;;34.3;
2018-04-05;00:00:00;4;3;;;34.3;
2018-04-06;00:00:00;4;3;;;34.3;
2018-04-07;00:00:00;4;3;;;35.4;
2018-04-08;00:00:00;4;3;;;35.5;
2018-04-09;00:00:00;4;3;;;35.5;
2018-04-10;00:00:00;4;3;;;35.0;
2018-04-11;00:00:00;4;3;;;33.9;35.0
2018-04-12;00:00:00;4;3;;;33.9;35.0
2018-04-13;00:00:00;4;3;;;33.9;35.0
2018-04-14;00:00:00;4;3;;;31.3;35.0
2018-04-15;00:00:00;4;3;;;31.3;35.0
2018-04-16;00:00:00;4;3;;;31.3;35.0
2018-04-17;00:00:00;4;3;;;35.8;35.0
2018-04-18;00:00:00;4;3;;;35.8;35.0
2018-04-19;00:00:00;4;3;;;35.8;35.0
2018-04-20;00:00:00;4;3;;;35.8;35.0
2018-04-21;00:00:00;4;3;;;35.8;35.0
2018-04-22;00:00:00;4;3;;;35.8;35.0
2018-04-23;00:00:00;4;3;;;34.7;35.0
2018-04-24;00:00:00;4;3;;;35.8;35.0
2018-04-25;00:00:00;4;3;;;35.8;35.0
2018-04-27;00:00:00;4;3;;;35.8;35.0
2018-04-28;00:00:00;4;3;;;35.8;35.0
2018-04-29;00:00:00;4;3;;;35.8;35.0
2018-04-30;00:00:00;4;3;;;35.8;35.0
2018-05-01;00:00:00;4;3;;;34.8;35.0
2018-05-02;00:00:00;4;3;;;34.8;35.0
2018-05-03;00:00:00;4;3;;;34.8;35.0
2018-05-04;00:00:00;4;3;;;34.8;35.0
2018-05-05;00:00:00;4;3;;;34.8;35.0
2018-05-06;00:00:00;4;3;;;33.8;35.0
2018-05-07;00:00:00;4;3;;;33.8;35.0
2018-05-08;00:00:00;4;3;;;33.8;35.0
2018-05-09;00:00:00;4;3;0.0;;33.6;35.0
2018-05-10;00:00:00;4;3;0.0;;33.6;35.0
2018-05-11;00:00:00;4;3;0.0;;33.6;35.0
2018-05-12;00:00:00;4;3;0.0;;33.6;35.0
2018-05-13;00:00:00;4;3;0.0;;33.6;35.0
2018-05-14;00:00:00;4;3;0.0;;33.8;35.0
2018-05-15;00:00:00;4;3;0.0;;34.2;35.0
2018-05-16;00:00:00;4;3;0.0;;34.2;35.0
2018-05-17;00:00:00;4;3;0.0;;34.4;35.0
2018-05-18;00:00:00;4;3;0.0;;34.4;35.0
2018-05-19;00:00:00;4;3;0.0;;34.4;35.0
2018-05-20;00:00:00;4;3;0.0;;34.4;35.0
2018-05-21;00:00:00;4;3;0.0;;34.4;35.0
2018-05-22;00:00:00;4;3;0.0;;34.4;35.0
2018-05-23;00:00:00;4;3;1.0;;34.4;35.0
2018-05-24;00:00:00;4;3;8.0;;34.4;35.0
2018-05-25;00:00:00;4;3;14.0;;34.4;35.0
2018-05-26;00:00:00;4;3;12.0;;34.4;35.0
2018-05-27;00:00:00;4;3;13.0;;34.4;35.0
2018-05-28;00:00:00;4;3;12.0;;35.4;35.0
2018-05-29;00:00:00;4;3;11.0;;35.4;35.0
2018-05-30;00:00:00;4;3;12.0;;35.4;35.0
2018-05-31;00:00:00;4;3;12.0;;35.4;35.0
2018-06-01;00:00:00;4;3;12.0;;25.2;35.0
2018-06-02;00:00:00;4;3;12.0;;26.0;35.0
2018-06-03;00:00:00;4;3;13.0;;26.0;35.0
2018-06-04;00:00:00;4;3;12.0;;26.0;35.0
2018-06-05;00:00:00;4;3;12.0;;30.5;35.0
2018-06-06;00:00:00;4;3;13.0;;30.5;35.0
2018-06-07;00:00:00;4;3;11.0;;30.5;35.0
2018-06-08;00:00:00;4;3;11.0;;30.5;35.0
2018-06-09;00:00:00;4;3;12.0;;30.5;35.0
