X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;D1
130;133;0;4;0;1;0;7;1;1;1;6;650
25;115;0;0;1;4;1;7;1;1;1;2;5
150;132;0;0;0;3;0;6;1;1;0;3;99
100;120;0;4;0;3;0;6;1;1;1;2;330
310;100;0;5;1;3;0;6;1;1;1;1;560
250;113;0;0;0;0;0;6;1;1;0;3;400
180;101;0;0;0;3;0;7;1;1;0;2;230
65;112;0;0;0;3;0;7;1;1;1;1;570
150;212;0;1;0;3;0;7;1;0;1;4;740
400;87;0;3;0;3;0;7;1;1;1;8;460
170;149;0;0;0;4;0;6;1;0;1;0;110
190;114;0;4;0;4;0;7;1;1;1;7;340
130;220;0;0;0;1;0;6;1;1;0;4;650
30;96;0;4;0;2;1;7;1;1;0;4;230
10;112;0;3;0;1;0;7;1;0;0;3;370
150;154;0;0;0;3;0;7;1;1;0;4;980
16;113;0;4;0;3;0;6;1;0;1;12;46
85;124;0;4;1;1;0;7;1;0;0;0;25
20;129;0;5;0;1;0;7;1;0;1;0;350
24;128;0;4;0;0;0;7;1;1;1;2;77
190;115;0;4;0;1;0;7;1;1;1;7;320
42;106;0;0;1;2;1;7;1;1;0;0;310
30;110;0;0;0;4;0;7;0;0;0;2;510
180;129;0;4;0;1;0;7;1;1;0;4;230
300;144;0;4;0;4;0;6;1;1;1;3;630
22;134;0;5;0;3;0;7;1;1;1;1;29
50;110;0;3;0;4;0;8;1;1;1;1;1000
60;109;0;4;0;1;0;6;1;1;1;1;440
150;128;0;0;0;1;0;7;1;1;1;7;340
11;101;0;0;0;3;0;7;1;0;1;0;91
150;124;0;0;0;4;0;7;1;1;1;8;850
32;153;0;0;1;1;0;7;1;0;1;0;13
45;114;0;5;0;3;0;7;1;0;0;0;9
350;153;0;0;0;1;0;7;1;1;1;5;220
40;94;0;3;0;3;1;7;1;1;1;0;200
130;152;0;5;0;0;0;7;1;0;1;0;1000
160;93;0;1;0;4;0;7;1;0;1;2;460
31;136;0;3;0;4;1;7;1;1;1;4;1
27;98;0;5;0;3;1;6;1;1;1;0;4
27;80;0;4;0;3;0;7;1;1;1;4;150
30;109;0;4;1;2;1;7;1;1;1;4;200
36;113;0;3;0;3;0;7;1;1;1;6;440
7;114;0;0;0;4;0;7;1;1;1;0;1
6;132;0;3;0;4;1;7;1;1;1;4;150
180;76;0;3;0;4;0;7;1;1;0;1;910
18;104;0;4;0;1;0;7;1;1;0;4;510
40;172;0;0;0;2;1;6;1;1;0;2;2
120;197;0;0;0;4;0;8;1;1;1;7;18
70;109;0;0;0;3;0;6;0;1;0;0;550
17;110;0;0;0;2;1;7;1;1;0;18;3
110;113;0;0;0;3;0;7;1;1;0;0;780
30;161;0;0;0;1;0;7;1;0;1;8;270
40;114;0;4;0;3;0;6;1;0;1;0;110
60;110;0;0;0;4;0;7;1;1;1;5;1000
60;124;0;4;0;1;0;7;1;1;0;4;540
33;122;0;5;0;3;1;8;1;0;1;0;300
90;93;0;0;0;4;1;7;1;1;1;2;170
350;180;0;5;0;1;0;6;1;1;0;1;44
4;90;0;0;0;2;0;6;1;0;1;1;5
180;122;0;0;0;4;0;7;1;0;0;3;260
85;138;0;0;0;1;0;6;1;0;1;6;700
5;123;0;0;0;4;0;8;1;1;1;0;220
10;135;0;0;0;1;0;7;1;0;1;3;240
37;135;0;0;0;3;0;7;1;1;1;8;310
180;94;0;4;0;4;0;7;1;1;0;3;600
2;99;0;4;0;4;1;7;1;1;0;4;140
30;125;0;0;0;2;0;7;1;1;1;16;180
14;138;0;0;0;4;0;7;1;1;1;12;1
160;129;0;0;0;4;1;7;1;0;1;2;530
18;101;0;0;0;0;0;8;1;0;1;0;84
120;100;0;0;0;1;0;7;0;1;1;3;100
220;132;0;4;0;0;0;7;1;1;1;3;970
210;145;0;4;0;1;0;7;1;1;1;0;260
98;141;0;5;0;3;0;7;1;1;1;0;240
170;121;0;0;0;1;0;7;1;1;1;3;330
250;108;0;0;0;1;0;6;0;1;0;3;340
110;197;0;0;0;3;0;7;1;1;1;5;1100
140;90;0;3;0;4;0;7;1;1;0;0;43
120;151;0;0;0;4;1;7;1;0;1;5;530
110;162;0;0;0;4;1;7;1;0;0;0;41
110;106;0;4;0;4;1;6;1;0;0;0;220
80;105;0;0;0;3;1;7;1;1;0;0;90
140;115;0;4;0;4;0;7;1;1;0;17;50
330;202;0;0;0;1;0;6;1;1;0;4;480
1;96;0;4;0;2;1;7;1;0;1;2;2
80;100;0;0;0;4;0;7;1;1;1;0;410
