Дата замера;Время;Способ эксплуатации;Режим;Рпр(ТМ);Рзаб(Рпр);Рзаб(Нд);Рзаб(иссл)
2018-01-11;00:00:00;8;1;46.0;;58.9;58.0
2018-01-12;00:00:00;8;1;37.0;58.6;46.3;58.0
2018-01-13;00:00:00;8;3;37.1;57.6;46.3;58.0
2018-01-14;00:00:00;8;3;37.1;57.6;46.3;58.0
2018-01-15;00:00:00;8;3;37.1;57.6;46.3;58.0
2018-01-16;00:00:00;8;3;37.0;57.6;46.3;58.0
2018-01-17;00:00:00;8;3;37.0;57.4;44.9;58.0
2018-01-18;00:00:00;8;3;37.0;57.4;44.9;58.0
2018-01-19;00:00:00;8;3;37.0;57.4;44.9;58.0
2018-01-20;00:00:00;8;3;36.8;57.4;44.9;58.0
2018-01-21;00:00:00;8;3;36.7;57.4;45.0;58.0
2018-01-22;00:00:00;8;3;36.7;57.4;45.0;58.0
2018-01-23;00:00:00;8;3;36.7;57.4;45.0;58.0
2018-01-24;00:00:00;8;3;37.0;57.4;45.0;58.0
2018-01-25;00:00:00;8;3;36.9;57.4;45.0;58.0
2018-01-26;00:00:00;8;3;36.8;57.4;45.6;58.0
2018-01-27;00:00:00;8;3;36.8;57.4;45.0;58.0
2018-01-28;00:00:00;8;3;37.0;57.4;45.0;58.0
2018-01-29;00:00:00;8;3;36.9;57.4;45.0;58.0
2018-01-30;00:00:00;8;3;36.9;57.4;45.0;58.0
2018-01-31;00:00:00;8;3;37.0;57.4;45.0;58.0
2018-02-01;00:00:00;4;3;37.0;57.8;;58.0
2018-02-02;00:00:00;4;3;36.0;57.8;;58.0
2018-02-03;00:00:00;4;3;37.0;57.8;;58.0
2018-02-04;00:00:00;4;3;37.0;57.8;;58.0
2018-02-05;00:00:00;4;3;37.0;57.8;;58.0
2018-02-06;00:00:00;4;3;37.0;57.8;;58.0
2018-02-07;00:00:00;4;3;36.0;57.8;;58.0
2018-02-08;00:00:00;4;3;36.0;57.8;;58.0
2018-02-09;00:00:00;4;3;37.0;57.8;;58.0
2018-02-10;00:00:00;4;3;37.0;57.8;;58.0
2018-02-11;00:00:00;4;3;37.0;57.8;;58.0
2018-02-12;00:00:00;4;3;37.0;57.8;;58.0
2018-02-13;00:00:00;4;3;37.0;57.8;;58.0
2018-02-14;00:00:00;4;3;37.0;57.8;;58.0
2018-02-15;00:00:00;4;3;37.0;57.8;;58.0
2018-02-16;00:00:00;4;3;37.0;57.8;;58.0
2018-02-17;00:00:00;4;3;37.0;57.8;;58.0
2018-02-18;00:00:00;4;3;37.0;57.8;;58.0
2018-02-19;00:00:00;4;3;35.0;57.8;;58.0
2018-02-20;00:00:00;4;3;37.0;57.8;;58.0
2018-02-21;00:00:00;4;3;37.0;57.8;;58.0
2018-02-22;00:00:00;4;3;43.0;57.8;;58.0
2018-02-23;00:00:00;4;3;39.0;57.8;;58.0
2018-02-24;00:00:00;4;3;24.0;57.8;;58.0
2018-02-25;00:00:00;4;3;0.0;57.8;;58.0
2018-02-26;00:00:00;4;3;0.0;;;58.0
2018-02-27;00:00:00;4;3;0.0;;;58.0
2018-02-28;00:00:00;4;3;0.0;;;58.0
2018-03-05;00:00:00;4;1;0.0;;131.4;66.0
2018-03-06;00:00:00;4;1;22.0;;131.4;66.0
2018-03-07;00:00:00;4;1;39.0;;131.4;66.0
2018-03-08;00:00:00;4;1;38.0;;131.4;66.0
2018-03-09;00:00:00;4;1;38.0;59.9;49.7;66.0
2018-03-10;00:00:00;4;1;38.0;59.9;49.7;66.0
2018-03-11;00:00:00;4;1;38.0;59.9;49.7;66.0
2018-03-12;00:00:00;4;1;40.0;59.9;49.7;66.0
2018-03-13;00:00:00;4;1;39.0;59.9;49.7;66.0
2018-03-14;00:00:00;4;1;38.0;59.9;49.7;66.0
2018-03-15;00:00:00;4;1;38.0;59.9;49.7;66.0
2018-03-16;00:00:00;4;1;38.0;59.9;50.0;66.0
2018-03-17;00:00:00;4;1;37.0;59.9;50.0;66.0
2018-03-18;00:00:00;4;1;37.0;59.8;49.7;66.0
2018-03-19;00:00:00;4;1;37.0;59.8;49.7;66.0
2018-03-20;00:00:00;4;1;37.0;59.8;49.1;66.0
2018-03-21;00:00:00;4;1;36.0;59.9;49.0;66.0
2018-03-22;00:00:00;4;1;37.0;59.9;49.0;66.0
2018-03-23;00:00:00;4;1;37.0;59.9;49.5;66.0
2018-03-24;00:00:00;4;1;37.0;59.9;49.5;66.0
2018-03-25;00:00:00;4;1;37.0;59.9;49.9;66.0
2018-03-26;00:00:00;4;1;37.0;59.9;49.9;66.0
2018-03-27;00:00:00;4;1;37.0;59.9;49.4;66.0
2018-03-28;00:00:00;4;1;37.0;59.8;45.6;66.0
2018-03-29;00:00:00;4;1;37.0;59.8;45.6;66.0
2018-03-30;00:00:00;4;1;37.0;59.8;45.6;66.0
2018-03-31;00:00:00;4;1;37.0;59.8;45.6;66.0
2018-04-01;00:00:00;4;1;37.0;59.8;46.9;66.0
2018-04-02;00:00:00;4;1;37.0;59.8;46.9;66.0
2018-04-03;00:00:00;4;1;37.0;59.8;46.9;66.0
2018-04-04;00:00:00;4;1;39.0;62.9;46.4;66.0
2018-04-05;00:00:00;4;1;37.0;62.9;46.4;66.0
2018-04-06;00:00:00;4;1;37.0;62.9;46.4;66.0
2018-04-07;00:00:00;4;1;38.0;69.8;46.4;66.0
2018-04-08;00:00:00;4;1;38.0;69.8;46.5;66.0
2018-04-09;00:00:00;4;1;37.0;69.8;46.5;66.0
2018-04-10;00:00:00;4;1;37.0;69.8;46.5;66.0
2018-04-11;00:00:00;4;1;37.0;59.9;48.6;66.0
2018-04-12;00:00:00;4;1;37.0;59.9;48.6;66.0
2018-04-13;00:00:00;4;1;37.0;59.9;48.6;66.0
2018-04-14;00:00:00;4;1;37.0;59.9;48.5;66.0
2018-04-15;00:00:00;4;1;37.0;59.9;48.5;66.0
2018-04-16;00:00:00;4;1;37.0;59.9;48.5;66.0
2018-04-17;00:00:00;4;1;37.0;59.9;48.5;66.0
2018-04-18;00:00:00;4;1;37.0;59.9;45.5;66.0
2018-04-19;00:00:00;4;1;37.0;59.9;45.5;66.0
2018-04-20;00:00:00;4;1;37.0;59.9;45.5;66.0
2018-04-21;00:00:00;4;1;37.0;60.0;45.7;66.0
2018-04-22;00:00:00;4;1;37.0;60.0;45.7;66.0
2018-04-23;00:00:00;4;1;37.0;60.0;49.0;66.0
2018-04-24;00:00:00;4;1;37.0;60.0;49.0;66.0
2018-04-25;00:00:00;4;1;37.0;60.0;49.0;66.0
2018-04-27;00:00:00;4;3;37.0;60.0;49.0;66.0
2018-04-28;00:00:00;4;3;37.0;60.0;49.0;66.0
2018-04-29;00:00:00;4;3;37.0;60.0;49.0;66.0
2018-04-30;00:00:00;4;3;37.0;60.0;49.0;66.0
2018-05-01;00:00:00;4;3;37.0;60.0;49.3;66.0
2018-05-02;00:00:00;4;3;37.0;60.0;49.3;66.0
2018-05-03;00:00:00;4;3;37.0;60.0;49.3;66.0
2018-05-04;00:00:00;4;3;37.0;60.0;49.3;66.0
2018-05-05;00:00:00;4;3;76.0;60.0;49.3;66.0
2018-05-06;00:00:00;4;3;192.0;60.0;49.7;66.0
2018-05-07;00:00:00;4;3;177.0;60.0;49.7;66.0
2018-05-08;00:00:00;4;3;37.0;60.0;49.7;66.0
2018-05-09;00:00:00;4;3;38.0;60.0;49.7;66.0
2018-05-10;00:00:00;4;3;38.0;60.0;50.3;66.0
2018-05-11;00:00:00;4;3;37.0;60.0;50.3;66.0
2018-05-12;00:00:00;4;3;37.0;60.0;50.3;66.0
2018-05-13;00:00:00;4;3;37.0;59.9;49.9;66.0
2018-05-14;00:00:00;4;3;37.0;59.9;49.9;66.0
2018-05-15;00:00:00;4;3;37.0;59.9;50.0;66.0
2018-05-16;00:00:00;4;3;37.0;60.1;50.8;66.0
2018-05-17;00:00:00;4;3;37.0;60.1;50.8;66.0
2018-05-18;00:00:00;4;3;37.0;60.1;50.9;66.0
2018-05-19;00:00:00;4;3;37.0;60.1;50.7;66.0
2018-05-20;00:00:00;4;3;37.0;60.1;50.7;66.0
2018-05-21;00:00:00;4;3;38.0;60.1;50.7;66.0
2018-05-22;00:00:00;4;3;39.0;60.1;50.7;66.0
2018-05-23;00:00:00;4;3;38.0;60.0;50.0;66.0
2018-05-24;00:00:00;4;3;38.0;60.0;50.0;66.0
2018-05-25;00:00:00;4;3;38.0;60.0;50.0;66.0
2018-05-26;00:00:00;4;3;38.0;60.0;50.0;66.0
2018-05-27;00:00:00;4;3;38.0;60.0;50.0;66.0
2018-05-28;00:00:00;4;3;37.0;60.0;50.2;66.0
2018-05-29;00:00:00;4;3;37.0;60.0;50.2;66.0
2018-05-30;00:00:00;4;3;37.0;60.0;50.2;66.0
2018-05-31;00:00:00;4;3;37.0;60.0;50.2;66.0
2018-06-01;00:00:00;4;3;37.0;60.0;50.2;66.0
2018-06-02;00:00:00;4;3;37.0;60.0;49.3;66.0
2018-06-03;00:00:00;4;3;37.0;60.0;49.3;66.0
2018-06-04;00:00:00;4;3;37.0;59.9;49.5;66.0
2018-06-05;00:00:00;4;3;37.0;59.9;49.5;66.0
2018-06-06;00:00:00;4;3;37.0;60.0;49.6;66.0
2018-06-07;00:00:00;4;3;37.0;60.0;49.6;66.0
2018-06-08;00:00:00;4;3;37.0;60.0;49.6;66.0
2018-06-09;00:00:00;4;3;37.0;60.0;49.6;66.0
2018-06-10;00:00:00;4;3;37.0;60.0;49.6;66.0
2018-06-11;00:00:00;4;3;37.0;60.0;49.7;66.0
2018-06-12;00:00:00;4;3;37.0;60.0;49.7;66.0
2018-06-13;00:00:00;4;3;37.0;60.0;49.7;66.0
2018-06-14;00:00:00;4;3;37.0;60.0;49.7;66.0
2018-06-15;00:00:00;4;3;36.0;60.0;50.9;66.0
2018-06-16;00:00:00;4;3;37.0;60.0;50.3;66.0
2018-06-17;00:00:00;4;3;37.0;60.0;50.1;66.0
2018-06-18;00:00:00;4;3;37.0;60.0;50.8;66.0
2018-06-19;00:00:00;4;3;25.0;60.0;50.8;66.0
2018-06-20;00:00:00;4;3;37.0;60.0;50.3;66.0
2018-06-21;00:00:00;4;3;37.0;60.0;50.9;66.0
2018-06-22;00:00:00;4;3;37.0;60.0;53.9;66.0
2018-06-23;00:00:00;4;3;38.0;60.0;53.9;66.0
2018-06-24;00:00:00;4;3;38.0;60.1;54.3;66.0
2018-06-25;00:00:00;4;3;38.0;60.1;54.2;66.0
2018-06-26;00:00:00;4;3;38.0;60.1;55.6;66.0
2018-06-27;00:00:00;4;3;41.0;60.1;55.6;66.0
2018-06-28;00:00:00;4;3;39.0;60.1;55.6;66.0
2018-06-29;00:00:00;4;3;39.0;62.1;53.2;66.0
2018-06-30;00:00:00;4;3;39.0;62.1;53.2;66.0
2018-07-01;00:00:00;4;3;39.0;62.1;52.4;
2018-07-02;00:00:00;4;3;39.0;62.1;52.5;
2018-07-03;00:00:00;4;3;39.0;62.1;54.8;
2018-07-04;00:00:00;4;3;40.0;62.1;60.3;
2018-07-05;00:00:00;4;3;39.0;62.1;60.3;
2018-07-06;00:00:00;4;3;39.0;62.1;60.7;
2018-07-07;00:00:00;4;3;39.0;62.1;56.0;
2018-07-08;00:00:00;4;3;39.0;62.1;56.0;
2018-07-09;00:00:00;4;3;39.0;61.8;55.2;
2018-07-10;00:00:00;4;3;40.0;61.8;55.2;
2018-07-11;00:00:00;4;3;40.0;62.8;55.8;
2018-07-12;00:00:00;4;3;40.0;62.8;55.8;
2018-07-13;00:00:00;4;3;40.0;62.8;55.2;
2018-07-14;00:00:00;4;3;40.0;62.8;55.8;
2018-07-15;00:00:00;4;3;40.0;62.8;55.8;
2018-07-16;00:00:00;4;3;40.0;62.8;55.8;
2018-07-17;00:00:00;4;3;40.0;62.7;56.4;
2018-07-18;00:00:00;4;3;40.0;62.7;55.9;
2018-07-19;00:00:00;4;3;40.0;62.7;56.4;
2018-07-20;00:00:00;4;3;40.0;62.7;56.4;
2018-07-21;00:00:00;4;3;40.0;62.5;56.1;
2018-07-22;00:00:00;4;3;40.0;62.5;56.1;
2018-07-23;00:00:00;4;3;40.0;62.5;56.1;
2018-07-24;00:00:00;4;3;40.0;62.6;56.0;
2018-07-25;00:00:00;4;3;40.0;62.6;56.0;
2018-07-26;00:00:00;4;3;40.0;62.6;56.0;
2018-07-27;00:00:00;4;3;40.0;62.6;55.9;
2018-07-28;00:00:00;4;3;40.0;62.6;55.4;
2018-07-29;00:00:00;4;3;40.0;62.6;55.4;
2018-07-30;00:00:00;4;3;40.0;62.6;55.4;
2018-07-31;00:00:00;4;3;40.0;62.6;55.5;
